S by Solar EB4.6C электрогитара с чехлом, форма Explorer, цвет черный, https://www.muztorg.ru/files/5ln/2ln/knc/2sk/0ks/swg/oo8/ck8/w/5ln2lnknc2sk0ksswgoo8ck8w.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
CORT MBM-2H-LH-SBLK META Series, https://www.muztorg.ru/files/dov/2n0/x0p/soc/ks8/88k/cg8/8ok/s/dov2n0x0psocks888kcg88oks.jpg, 22, 6, H-h, на болтах, клён, липа,
STAGG SES-55 BLK, https://www.muztorg.ru/files/9gz/onu/ceb/30g/4ks/goo/ksc/swk/4/9gzonuceb30g4ksgookscswk4.jpg, 22, 6, S-s-s, на болтах, клён, павловния,
IBANEZ AS93BC-BK, https://www.muztorg.ru/files/8xs/1eg/vla/fwg/00g/kkw/gso/gs0/s/8xs1egvlafwg00gkkwgsogs0s.jpg, 6, H-h, вклеенный, клён, бокоте, чёрное дерево,
ARIA PRO II 615-MK2 BKDM, https://www.muztorg.ru/files/8u9/j03/j70/a4o/wog/848/0ck/0o0/8u9j03j70a4owog8480ck0o00.jpeg, 22, 6, S-s-s, на болтах, клён, тополь,
JET JS-450 TBL, https://www.muztorg.ru/files/q3r/cf3/z5b/s0k/80g/oo8/0s4/gs8/q3rcf3z5bs0k80goo80s4gs8.jpg, 22, 6, H-s-s, на болтах, клён, липа,
TERRIS TSS-139 BK, https://www.muztorg.ru/files/cwj/iz1/t9p/hc0/k8s/0k0/ko8/gcc/4/cwjiz1t9phc0k8s0k0ko8gcc4.jpg, 22, 6, H-s-h, на болтах, клён, липа,
ARIA PRO II TEG-TL 3TS, https://www.muztorg.ru/files/85p/mky/xuk/ds8/ssg/g48/8ws/cgg/k/85pmkyxukds8ssgg488wscggk.jpg, 22, 6, S-s, на болтах, клён, липа,
CORT G200-SKB G Series, https://www.muztorg.ru/files/3qz/1oj/gkw/728/4kk/ccc/404/k8c/g/3qz1ojgkw7284kkccc404k8cg.jpg, 22, 6, H-s-h, на болтах, клён, тополь,
MOOER GTRS P801 Red, https://www.muztorg.ru/files/bim/bb1/nt4/m8g/448/0c8/ccs/gcc/s/bimbb1nt4m8g4480c8ccsgccs.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS P800 Dark Silver, https://www.muztorg.ru/files/2f4/cdu/inq/0u8/4ws/0ss/o8s/ccg/s/2f4cduinq0u84ws0sso8sccgs.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA JET-TL BK, https://www.muztorg.ru/files/76k/hru/ot2/pog/8s4/ogc/c0g/w4k/76khruot2pog8s4ogcc0gw4k0.jpg, 24, 6, H-h, на болтах, клён, тополь,
ROCKDALE Akira EX Reverse Black, https://www.muztorg.ru/files/edo/hr8/82z/vso/w4o/kok/848/4oo/g/edohr882zvsow4okok8484oog.jpg, 24, 6, на болтах, клён, тополь, Superstrat,
SCHECTER SGR C-1 M RED, https://www.muztorg.ru/files/cdq/7tk/ojd/9ko/cgg/scw/gs8/c0g/8/cdq7tkojd9kocggscwgs8c0g8.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
IBANEZ GRX70QAL-TBB, https://www.muztorg.ru/files/3ao/djj/grh/4mc/s0w/ok0/o0c/w44/s/3aodjjgrh4mcs0wok0o0cw44s.jpg, 6, H-s-h, на болтах, тополь, ятоба, левосторонняя,
[object Object]ARIA 718-MK2 OPBK, https://www.muztorg.ru/files/ceg/fk7/jpr/hko/g40/o80/gsc/ooo/s/cegfk7jprhkog40o80gscooos.jpg, 22, 6, вклеенный, клён, красное дерево, палисандр,
FENDER SQUIER Affinity 2021 Stratocaster MN Olympic White, https://www.muztorg.ru/files/cwu/m8v/1se/w0g/kks/s8c/0g0/4ko/cwum8v1sew0gkkss8c0g04ko0.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
ROCKDALE Akira DX Black, https://www.muztorg.ru/files/8ya/ntw/agq/s08/0sw/cws/c4o/084/o/8yantwagqs080swcwsc4o084o.jpg, 24, 6, H-h, на болтах, клён, тополь,
STERLING Cutlass Toluca Lake Blue, https://www.muztorg.ru/files/idw/rp4/4nd/7kg/ww8/wso/kw4/s04/idwrp44nd7kgww8wsokw4s04.jpg, 22, 6, H-s-s, на болтах, палисандр, тополь,
MOOER GTRS P800 White, https://www.muztorg.ru/files/bfs/2wv/ccm/zso/ow0/4sc/oss/0gc/4/bfs2wvccmzsoow04scoss0gc4.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
FENDER PLAYER Stratocaster HSS MN Polar White, https://www.muztorg.ru/files/9p6/hi5/dyt/a0w/wko/kso/8og/c84/k/9p6hi5dyta0wwkokso8ogc84k.jpg, 6, H-s-s, на болтах, клён, ольха, клён,
JACKSON JS22 Dinky DKA Metallic Blue, https://www.muztorg.ru/files/9gs/rvq/7ey/dc0/4go/coo/4wc/wko/w/9gsrvq7eydc04gocoo4wcwkow.jpg, 6, на болтах, клён, тополь, амарант, тополь,
FENDER American PRO II Stratocaster MN Miami Blue, https://www.muztorg.ru/files/2sb/mg9/803/0is/c00/wsk/sww/ock/c/2sbmg98030isc00wskswwockc.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
DONNER DMT-100 Black, https://www.muztorg.ru/files/477/ocb/6nq/0is/0w4/4k8/csg/00o/8/477ocb6nq0is0w44k8csg00o8.jpg, 24, 6, H-h, на болтах, клён, тополь,
ARIA PRO II 615-MK2 MBWH, https://www.muztorg.ru/files/b3w/mw8/sku/9wg/8ow/ws0/o04/cgo/4/b3wmw8sku9wg8owws0o04cgo4.jpg, 22, 6, H-h-h, на болтах, клён, тополь,
ARIA PRO II J-TL BK, https://www.muztorg.ru/files/7vv/8bh/e4z/wws/csg/w88/g4c/848/7vv8bhe4zwwscsgw88g4c8480.jpg, 24, 6, S-s, на болтах, клён, липа,
STAGG SVYSPCL BK, https://www.muztorg.ru/files/4n1/fin/7xs/qgw/4gw/s0k/4w0/oo8/4/4n1fin7xsqgw4gws0k4w0oo84.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
FENDER SQUIER Sonic Mustang HH California Blue, https://www.muztorg.ru/files/f28/v8d/ggc/54w/cg8/4w4/484/g8s/g/f28v8dggc54wcg84w4484g8sg.png, 22, 6, H-h, на болтах, клён, тополь,
STAGG SEL-STD BLK, https://www.muztorg.ru/files/9v1/ky5/apt/4gs/cc4/40c/08o/oww/4/9v1ky5apt4gscc440c08ooww4.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
JACKSON JS12 Dinky DK Snow White, https://www.muztorg.ru/files/cyv/b5f/6sx/hs8/8c0/o40/occ/8cg/w/cyvb5f6sxhs88c0o40occ8cgw.jpg, 24, 6, H-h, на болтах, клён, тополь,
G&L Tribute Legacy Shoreline Gold MP Poplar, https://www.muztorg.ru/files/bxk/4qr/lgv/xss/k8o/cgg/8ow/0ww/4/bxk4qrlgvxssk8ocgg8ow0ww4.jpeg, 22, 6, H-s-h, на болтах, клён, тополь,
PEAVEY Raptor Plus Pack Sunburst, https://www.muztorg.ru/files/1sm/jbf/ns0/dk0/og4/oo8/o0c/go4/s/1smjbfns0dk0og4oo8o0cgo4s.jpg, 22, 6, H-s-s, на болтах, клён, липа,
PEAVEY Raptor Plus IVR, https://www.muztorg.ru/files/7uq/l1w/d57/fk0/8ww/04c/0sg/sk0/w/7uql1wd57fk08ww04c0sgsk0w.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
PEAVEY Raptor Custom RED, https://www.muztorg.ru/files/eos/vug/5bc/psg/skc/w0o/s4s/w88/k/eosvug5bcpsgskcw0os4sw88k.jpg, 22, 6, S-s-s, на болтах, клён, липа,
ROCKDALE Akira EXP Snow White, https://www.muztorg.ru/files/561/sbi/9b3/xs8/s0w/sok/k0s/soo/c/561sbi9b3xs8s0wsokk0ssooc.jpg, 24, 6, H-h, на болтах, клён, тополь,
ROCKDALE Akira HSS Black, https://www.muztorg.ru/files/7e5/usg/cp9/qos/s4g/k0c/cko/soo/w/7e5usgcp9qoss4gk0cckosoow.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS P801 Green, https://www.muztorg.ru/files/9tv/bz5/9vv/a4g/0cg/kco/0wg/o4w/4/9tvbz59vva4g0cgkco0wgo4w4.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Caraya E219RDS, https://www.muztorg.ru/files/15v/ip2/0xl/fwg/4og/gsc/kgg/wkc/4/15vip20xlfwg4oggsckggwkc4.jpeg, 22, 6, S-s, на болтах, клён, палисандр,
IBANEZ AG95QA-DBS, https://www.muztorg.ru/files/6ul/7rb/ey5/dc8/s0s/cks/cso/gsw/g/6ul7rbey5dc8s0sckscsogswg.jpg, 20, 6, H-h, вклеенный, ньятон, ясень,
FENDER American Performer Stratocaster RW HONEY BURST, https://www.muztorg.ru/files/7hn/i29/q5n/ukg/8cc/cc0/s44/kws/4/7hni29q5nukg8cccc0s44kws4.jpg, 6, S-s-s, на болтах, клён, ольха, палисандр,
ZOMBIE EDG - 46 / VBL, https://www.muztorg.ru/files/3lu/k7z/suj/euc/4k8/88g/k8w/k0w/8/3luk7zsujeuc4k888gk8wk0w8.jpg, 6, на болтах, клён, орех, палисандр, правосторонняя,
JACKSON JS24 Dinky DKAM Red Stain, https://www.muztorg.ru/files/1q6/3a6/seh/p40/cg0/oo4/0ko/ssw/k/1q63a6sehp40cg0oo40kosswk.jpeg, 24, 6, H-h, на болтах, клён, красное дерево,
FENDER Player Plus STRAT MN 3-Tone Sunburst, https://www.muztorg.ru/files/8mj/2w8/xis/m80/c00/o8w/kg0/w48/o/8mj2w8xism80c00o8wkg0w48o.jpg, 6, Stratocaster, undefined, undefined, undefined, undefined,
DONNER DMT-100 White, https://www.muztorg.ru/files/5io/fsk/3iw/h44/s08/c88/gc8/gsw/g/5iofsk3iwh44s08c88gc8gswg.jpg, 24, 6, H-h, на болтах, клён, тополь,
ROCKDALE Akira HSS Snow White, https://www.muztorg.ru/files/1je/6fs/u3q/qtc/ws4/ok0/w8g/gcs/o/1je6fsu3qqtcws4ok0w8ggcso.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ROCKDALE Akira HH Snow White, https://www.muztorg.ru/files/5dl/m5m/t2v/rks/8gw/o0k/o4g/s8k/g/5dlm5mt2vrks8gwo0ko4gs8kg.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS P800 Pink, https://www.muztorg.ru/files/dxb/3k2/c7o/rcc/gkw/ckc/sow/0c4/dxb3k2c7orccgkwckcsow0c40.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
MOOER GTRS S800 Red, https://www.muztorg.ru/files/bkg/rar/3up/ncc/sww/s4c/c4g/0k8/bkgrar3upnccswws4cc4g0k8.jpg, 22, 6, H-s-h, на болтах, клён, липа,
[object Object]CORT G300-RAW-NS G Series, https://www.muztorg.ru/files/61h/8me/w29/ig4/8ww/80g/o0w/ws4/g/61h8mew29ig48ww80go0wws4g.jpg, 24, 6, H-h, на болтах, красное дерево, красное дерево,
MOOER GTRS P800 Red, https://www.muztorg.ru/files/94n/eys/pqn/dwk/soo/wso/ssk/0cw/o/94neyspqndwksoowsossk0cwo.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-400 LPB, https://www.muztorg.ru/files/5yo/5q8/s8r/k84/ggk/848/444/wgk/k/5yo5q8s8rk84ggk848444wgkk.jpg, 22, 6, H-h-s, вклеенный, клён, липа,
FENDER SQUIER SONIC STRAT HSS MN Black, https://www.muztorg.ru/files/70a/nqg/po0/z48/c8s/04c/k0g/k80/o/70anqgpo0z48c8s04ck0gk80o.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Homage HEG500RDS, https://www.muztorg.ru/files/b3e/hwt/bmg/dko/ogo/4k4/04c/ckc/w/b3ehwtbmgdkoogo4k404cckcw.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
DONNER DST-152 Polar White, https://www.muztorg.ru/files/bgu/p3z/xuq/zcc/gws/k4g/g8w/0ko/o/bgup3zxuqzccgwsk4gg8w0koo.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
Russtone RUSSD-SSH MRS, https://www.muztorg.ru/files/4l6/qry/657/0g0/gcc/s4c/s8o/g88/o/4l6qry6570g0gccs4cs8og88o.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
CORT G250-Spectrum-MEG G Series, https://www.muztorg.ru/files/co8/qt0/xax/s84/okk/gkk/g08/g0s/4/co8qt0xaxs84okkgkkg08g0s4.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JT-350 BSC, https://www.muztorg.ru/files/ba4/irt/zo5/7so/oww/8ws/s8w/cgg/c/ba4irtzo57sooww8wss8wcggc.jpg, 22, 6, S-s, на болтах, клён, липа,
EART GW-7F Black, https://www.muztorg.ru/files/yu0/zso/7ki/1cc/go8/gg0/wk0/gs0/yu0zso7ki1ccgo8gg0wk0gs0.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
EART TL-380 Stealth Black, https://www.muztorg.ru/files/8fl/rzl/z8m/h8o/sog/g0w/kgc/w4k/g/8flrzlz8mh8osogg0wkgcw4kg.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
FENDER SQUIER Sonic Telecaster, цвет California Blue, https://www.muztorg.ru/files/72l/xis/63m/scg/0cs/4sw/400/wc0/g/72lxis63mscg0cs4sw400wc0g.jpg, 21, 6, S-s, на болтах, клён, тополь,
FENDER SQUIER Sonic Telecaster, цвет Torino Red, https://www.muztorg.ru/files/bd5/vfy/q93/1cg/4os/ck4/04c/8oo/s/bd5vfyq931cg4osck404c8oos.jpg, 21, 6, S-s, на болтах, клён, тополь,
FENDER Player II Stratocaster 3-Color Sunburst, https://www.muztorg.ru/files/cjx/kv0/gpj/tc8/s8c/8ok/48c/gcs/8/cjxkv0gpjtc8s8c8ok48cgcs8.jpg, 22, 6, S-s-s, на болтах, клён, ольха,
JET JS-400 PK, https://www.muztorg.ru/files/6s7/30d/cvv/7k0/ggs/s04/008/gs0/6s730dcvv7k0ggss04008gs00.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JT-300 BL, https://www.muztorg.ru/files/9rb/wkc/idj/boc/gg8/cog/co8/gs8/9rbwkcidjbocgg8cogco8gs80.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
FENDER SQUIER Sonic Telecaster Black, https://www.muztorg.ru/files/3j9/ji8/x90/gao/840/0k4/o84/ogc/3j9ji8x90gao8400k4o84ogc.jpg, 21, 6, S-s, на болтах, клён, тополь,
TERRIS TST-040 LB, https://www.muztorg.ru/files/8xq/beq/mij/m88/ks4/k0w/44s/8kw/8xqbeqmijm88ks4k0w44s8kw0.jpeg, 22, 6, S-s-s, на болтах, берёза, липа,
ARIA STG-003 MBL, https://www.muztorg.ru/files/etb/u22/9ke/60w/w08/00g/wck/o84/o/etbu229ke60ww0800gwcko84o.jpg, 22, 6, S-s-s, на болтах, клён, липа,
PEAVEY Raptor Plus Black, https://www.muztorg.ru/files/6g3/55f/rpp/0g0/80g/cs0/cow/oc8/s/6g355frpp0g080gcs0cowoc8s.jpg, 22, 6, S-s-h, на болтах, клён, липа,
DONNER LP-124 Sunburst, https://www.muztorg.ru/files/b9g/09u/9ps/68k/sks/g04/kgs/0kk/o/b9g09u9ps68ksksg04kgs0kko.jpg, 22, 6, H-h, на болтах, окуме, липа,
ROCKDALE Akira EXP Black, https://www.muztorg.ru/files/7zv/cm2/xow/ko4/sgk/8wc/o4g/g88/o/7zvcm2xowko4sgk8wco4gg88o.jpg, 24, 6, H-h, на болтах, клён, тополь,
ROCKDALE Akira HH Black, https://www.muztorg.ru/files/32o/kkl/vzh/jgg/4ok/cc8/wcs/0ko/s/32okklvzhjgg4okcc8wcs0kos.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Russtone RUST-SSS BK, https://www.muztorg.ru/files/e02/aqd/29y/tk4/ows/w0g/8o8/ggg/4/e02aqd29ytk4owsw0g8o8ggg4.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Russtone RUTC-SS NT, https://www.muztorg.ru/files/4ft/dlm/au9/n6s/80k/k0k/w4o/co8/w/4ftdlmau9n6s80kk0kw4oco8w.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
IBANEZ GRG320FA-TBS, https://www.muztorg.ru/files/3w2/7ia/l91/yww/0wk/04c/ss4/0s8/w/3w27ial91yww0wk04css40s8w.jpg, 24, 6, H-h, на болтах, клён, тополь,
ARIA PE-350STD AGBK, https://www.muztorg.ru/files/6y4/c08/7vz/xs8/scw/oow/88c/sc4/8/6y4c087vzxs8scwoow88csc48.jpg, 22, 6, H-h, вклеенный, окуме, липа,
STAGG SEL-DLX DC BST, https://www.muztorg.ru/files/7dw/xtq/rev/zsw/ksg/sk4/og0/0sc/s/7dwxtqrevzswksgsk4og00scs.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA STG-003 CA, https://www.muztorg.ru/files/1y6/8vk/p3f/928/os8/g00/8og/ooo/g/1y68vkp3f928os8g008ogooog.jpg, 22, 6, S-s-s, на болтах, клён, липа,
STAGG SEL-HB90 BLK, https://www.muztorg.ru/files/4sb/azt/ecg/qgw/wg8/ksc/goo/0k4/g/4sbaztecgqgwwg8kscgoo0k4g.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
ARIA JET-1 BK, https://www.muztorg.ru/files/3x3/ez5/e22/1s0/84o/ok4/gk0/s4o/8/3x3ez5e221s084ook4gk0s4o8.jpg, 24, 6, H-h, на болтах, клён, тополь,
DEAN EXILEX F BKS, https://www.muztorg.ru/files/7jm/svs/jnh/v48/ogw/k8o/0ow/ggo/8/7jmsvsjnhv48ogwk8o0owggo8.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
JET JS-450 OBL, https://www.muztorg.ru/files/e9u/h7v/4aw/60c/0gs/sgw/c8s/gc0/w/e9uh7v4aw60c0gssgwc8sgc0w.jpg, 22, 6, H-s-s, на болтах, клён, липа,
