IBANEZ GRX40-MLB, https://www.muztorg.ru/files/1th/qco/af2/4m8/kgw/8ck/sgk/ww8/1thqcoaf24m8kgw8cksgkww8.jpeg, 22, 6, S-s-h, на болтах, клён, тополь,
IBANEZ RG421PB-CHF, https://www.muztorg.ru/files/f5e/74t/12d/pss/4so/08s/sg4/88o/o/f5e74t12dpss4so08ssg488oo.jpg, 24, 6, H-h, клён, меранти, ятоба,
EART NK-C3 Trans Cherryburst, https://www.muztorg.ru/files/aw3/e4r/mhf/j4g/g0o/gkc/k8g/skk/s/aw3e4rmhfj4gg0ogkck8gskks.jpg, 22, 6, H-s-s, на болтах, клён, красное дерево,
EART YMS-SG3 Trans Tobacco Burst, https://www.muztorg.ru/files/66w/h8w/f4a/48w/0co/gog/0og/8oo/4/66wh8wf4a48w0cogog0og8oo4.jpg, 22, 6, S-s-s, на болтах, клён, красное дерево,
TERRIS TLP-039 WH, https://www.muztorg.ru/files/cvk/0cn/je3/m04/8c8/wcg/cs0/ow4/cvk0cnje3m048c8wcgcs0ow40.jpeg, 22, 6, H-h, на болтах, клён, липа,
EART NK-C3 Trans Black, https://www.muztorg.ru/files/9xg/zl5/mft/b4g/8kg/ko0/cg0/sos/w/9xgzl5mftb4g8kgko0cg0sosw.jpg, 22, 6, H-s-s, на болтах, клён, клён,
IBANEZ GRG170DX-SV, https://www.muztorg.ru/files/9bu/arh/baq/rs4/cw0/4c4/cco/4ko/o/9buarhbaqrs4cw04c4cco4koo.jpg, 24, 6, H-s-h, на болтах, клён, тополь,
Fabio ST100 BLS, https://www.muztorg.ru/files/9wn/4u4/na1/8g0/g44/0wg/sss/k0s/4/9wn4u4na18g0g440wgsssk0s4.jpg, 22, 6, S-s-s, на болтах, клён, липа,
AIERSI PRS-24 Blue Summer Sky Burst, https://www.muztorg.ru/files/5q1/p7f/74r/j0g/kk0/k0g/gk0/0cg/8/5q1p7f74rj0gkk0k0ggk00cg8.jpg, 24, 6, H-h, вклеенный, клён, красное дерево,
JACKSON X Dinky DKAF 7 Black, https://www.muztorg.ru/files/134/ond/i4j/nq8/kg0/04o/gs0/c4k/k/134ondi4jnq8kg004ogs0c4kk.JPG, 7, на болтах, клён, красное дерево, лавр, правосторонняя,
IBANEZ AZES31-IV, https://www.muztorg.ru/files/dyp/6v5/srl/4ow/w8w/g08/g8k/s4g/g/dyp6v5srl4oww8wg08g8ks4gg.jpg, 6, S-s-s, на болтах, клён, тополь, ятоба,
IBANEZ S521-BBS, https://www.muztorg.ru/files/4pd/mnh/kur/50k/0k4/gc4/gw8/444/o/4pdmnhkur50k0k4gc4gw8444o.jpg, 6, на болтах, клён, красное дерево, палисандр, ольха,
[object Object]Cort CR100-CRS Classic Rock, https://www.muztorg.ru/files/ao5/cxl/5bg/7k8/k0k/c04/kgc/kw0/ao5cxl5bg7k8k0kc04kgckw0.jpg, 6, на болтах, клён, красное дерево, палисандр, правосторонняя,
JET JT-300 BTS, https://www.muztorg.ru/files/7cx/bu5/pvf/rc4/gwk/80g/w8k/ooc/s/7cxbu5pvfrc4gwk80gw8koocs.jpeg, 22, 6, S-s, на болтах, клён, липа,
JET JL-500 GD, https://www.muztorg.ru/files/6s0/0p1/4l3/zwg/c8g/k4c/kwc/wo8/k/6s00p14l3zwgc8gk4ckwcwo8k.jpg, 22, 6, H-h, вклеенный, красное дерево, красное дерево,
IBANEZ S671ALB-BCM, https://www.muztorg.ru/files/3iz/7yp/clj/ew4/g00/kwk/0kg/w4c/k/3iz7ypcljew4g00kwk0kgw4ck.jpg, 24, 6, H-s-h, на болтах, орех, ньятон,
STAGG SES-30 IBM, https://www.muztorg.ru/files/110/y13/2uv/3ao/swc/088/s0w/0kc/w/110y132uv3aoswc088s0w0kcw.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
GRX70QA-SB, https://www.muztorg.ru/files/dxv/t8m/7ia/x44/8k4/0kw/wsk/w44/w/dxvt8m7iax448k40kwwskw44w.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Bosstone LP-6 SB+Bag, https://www.muztorg.ru/files/1hr/us0/xp6/ttw/c4o/8o4/wc4/08c/g/1hrus0xp6ttwc4o8o4wc408cg.jpg, 22, 6, H-h, вклеенный, клён, тополь,
IBANEZ AZES40-BK, https://www.muztorg.ru/files/cdi/u1s/sle/74k/kss/0wo/o84/kg0/s/cdiu1ssle74kkss0woo84kg0s.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
AF75G-BKF, https://www.muztorg.ru/files/bug/ovs/zuy/hsg/0co/ck4/c4g/0ck/bugovszuyhsg0cock4c4g0ck0.jpg, 20, 6, H-h, вклеенный, ньятон, липа,
JET JS-300 OW, https://www.muztorg.ru/files/bo9/ex9/rqj/7wo/04g/o0o/kk0/88w/c/bo9ex9rqj7wo04go0okk088wc.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
Fabio ST200 SB (Н/S/S), https://www.muztorg.ru/files/a1w/c7h/3up/bco/04s/80g/swc/wkg/w/a1wc7h3upbco04s80gswcwkgw.jpg, 22, 6, H-s-s, на болтах, клён, ольха,
IBANEZ RGA742FM-TGF, https://www.muztorg.ru/files/64c/7cj/gfa/ao0/8gc/cs8/kck/800/64c7cjgfaao08gccs8kck8000.jpg, 24, 7, H-h, на болтах, клён, меранти,
Schecter SGR C-1 BLK, https://www.muztorg.ru/files/abv/ctb/9fn/w8w/wc0/sww/oo0/ksw/k/abvctb9fnw8wwc0swwoo0kswk.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
ROCKDALE Stars HSS Red Metallic, https://www.muztorg.ru/files/6ww/o00/kfg/v40/swc/8cc/s0w/8c8/w/6wwo00kfgv40swc8ccs0w8c8w.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
IBANEZ RGA42FM-TGF, https://www.muztorg.ru/files/6bv/4ez/sso/xgc/88o/wow/g0s/ocw/g/6bv4ezssoxgc88owowg0socwg.jpeg, 24, 6, H-h, на болтах, клён, меранти,
ROCKDALE Stars SSS Black, https://www.muztorg.ru/files/2jz/fli/mup/ekg/04o/c0w/0s0/okc/c/2jzflimupekg04oc0w0s0okcc.jpg, 22, 6, S-s-s, на болтах, клён, тополь,
AIERSI TL-10 Black, https://www.muztorg.ru/files/3xr/3cq/hx5/s84/g4c/gsc/c84/cko/c/3xr3cqhx5s84g4cgscc84ckoc.jpg, 22, 6, H-h, на болтах, клён, тополь,
JACKSON JS22 Dinky DK Satin Black, https://www.muztorg.ru/files/7qs/tqw/ny4/xwk/o80/48k/o8c/0ks/o/7qstqwny4xwko8048ko8c0kso.jpg, 6, на болтах, клён, тополь, амарант, правосторонняя,
IBANEZ SA260FM-VLS, https://www.muztorg.ru/files/322/uph/yfr/o2s/8co/w4c/k40/0o4/4/322uphyfro2s8cow4ck400o44.jpg, 22, 6, H-s-s, на болтах, клён, красное дерево,
